"X1"	"X2"	"X3"
3.6587	0.740133111490063	16.8656350793962
3.6588	0.740107252366514	16.865991465453
3.6589	0.74008139510261	16.8663478416232
3.659	0.740055539698144	16.8667042079076
3.6591	0.740029686152911	16.8670605643066
3.6592	0.740003834466707	16.8674169108208
3.6593	0.739977984639326	16.8677732474507
3.6594	0.739952136670561	16.8681295741969
3.6595	0.73992629056021	16.8684858910601
3.6596	0.739900446308065	16.8688421980406
3.6597	0.739874603913921	16.8691984951392
3.6598	0.739848763377574	16.8695547823562
3.6599	0.739822924698819	16.8699110596924
3.66	0.73979708787745	16.8702673271483
3.6601	0.739771252913263	16.8706235847244
3.6602	0.739745419806051	16.8709798324213
3.6603	0.739719588555611	16.8713360702395
3.6604	0.739693759161737	16.8716922981796
3.6605	0.739667931624224	16.8720485162421
3.6606	0.739642105942868	16.8724047244277
3.6607	0.739616282117463	16.8727609227369
3.6608	0.739590460147804	16.8731171111701
3.6609	0.739564640033688	16.8734732897281
3.661	0.739538821774908	16.8738294584113
3.6611	0.739513005371261	16.8741856172203
3.6612	0.739487190822541	16.8745417661557
3.6613	0.739461378128544	16.874897905218
3.6614	0.739435567289064	16.8752540344078
3.6615	0.739409758303898	16.8756101537256
3.6616	0.739383951172842	16.875966263172
3.6617	0.739358145895688	16.8763223627475
3.6618	0.739332342472236	16.8766784524527
3.6619	0.739306540902277	16.8770345322882
3.662	0.739280741185609	16.8773906022546
3.6621	0.739254943322028	16.8777466623522
3.6622	0.739229147311329	16.8781027125819
3.6623	0.739203353153306	16.878458752944
3.6624	0.739177560847757	16.8788147834391
3.6625	0.739151770394476	16.8791708040679
3.6626	0.739125981793259	16.8795268148308
3.6627	0.739100195043902	16.8798828157284
3.6628	0.739074410146201	16.8802388067613
3.6629	0.739048627099952	16.88059478793
3.663	0.739022845904949	16.8809507592351
3.6631	0.73899706656099	16.8813067206771
3.6632	0.73897128906787	16.8816626722566
3.6633	0.738945513425385	16.8820186139742
3.6634	0.73891973963333	16.8823745458304
3.6635	0.738893967691502	16.8827304678257
3.6636	0.738868197599697	16.8830863799608
3.6637	0.738842429357711	16.8834422822361
3.6638	0.738816662965339	16.8837981746523
3.6639	0.738790898422378	16.8841540572098
3.664	0.738765135728625	16.8845099299093
3.6641	0.738739374883874	16.8848657927512
3.6642	0.738713615887922	16.8852216457362
3.6643	0.738687858740567	16.8855774888648
3.6644	0.738662103441602	16.8859333221376
3.6645	0.738636349990826	16.8862891455551
3.6646	0.738610598388034	16.8866449591178
3.6647	0.738584848633022	16.8870007628264
3.6648	0.738559100725587	16.8873565566814
3.6649	0.738533354665526	16.8877123406832
3.665	0.738507610452634	16.8880681148326
3.6651	0.738481868086708	16.88842387913
3.6652	0.738456127567545	16.888779633576
3.6653	0.738430388894941	16.8891353781711
3.6654	0.738404652068693	16.889491112916
3.6655	0.738378917088596	16.8898468378111
3.6656	0.738353183954448	16.890202552857
3.6657	0.738327452666046	16.8905582580543
3.6658	0.738301723223186	16.8909139534035
3.6659	0.738275995625664	16.8912696389051
3.666	0.738250269873278	16.8916253145598
3.6661	0.738224545965823	16.8919809803681
3.6662	0.738198823903098	16.8923366363305
3.6663	0.738173103684898	16.8926922824476
3.6664	0.738147385311021	16.8930479187199
3.6665	0.738121668781263	16.8934035451481
3.6666	0.738095954095422	16.8937591617325
3.6667	0.738070241253293	16.8941147684739
3.6668	0.738044530254675	16.8944703653727
3.6669	0.738018821099363	16.8948259524295
3.667	0.737993113787156	16.8951815296449
3.6671	0.73796740831785	16.8955370970194
3.6672	0.737941704691243	16.8958926545536
3.6673	0.73791600290713	16.896248202248
3.6674	0.737890302965309	16.8966037401031
3.6675	0.737864604865579	16.8969592681196
3.6676	0.737838908607735	16.8973147862979
3.6677	0.737813214191575	16.8976702946387
3.6678	0.737787521616896	16.8980257931424
3.6679	0.737761830883496	16.8983812818097
3.668	0.737736141991171	16.8987367606411
3.6681	0.73771045493972	16.8990922296371
3.6682	0.737684769728939	16.8994476887983
3.6683	0.737659086358626	16.8998031381252
3.6684	0.737633404828578	16.9001585776184
3.6685	0.737607725138593	16.9005140072784
3.6686	0.737582047288469	16.9008694271059
3.6687	0.737556371278002	16.9012248371013
3.6688	0.73753069710699	16.9015802372652
3.6689	0.737505024775231	16.9019356275981
3.669	0.737479354282523	16.9022910081007
3.6691	0.737453685628663	16.9026463787733
3.6692	0.737428018813448	16.9030017396167
3.6693	0.737402353836677	16.9033570906314
3.6694	0.737376690698148	16.9037124318178
3.6695	0.737351029397657	16.9040677631766
3.6696	0.737325369935003	16.9044230847084
3.6697	0.737299712309984	16.9047783964135
3.6698	0.737274056522397	16.9051336982927
3.6699	0.73724840257204	16.9054889903464
3.67	0.737222750458711	16.9058442725753
3.6701	0.737197100182209	16.9061995449798
3.6702	0.73717145174233	16.9065548075605
3.6703	0.737145805138874	16.906910060318
3.6704	0.737120160371638	16.9072653032528
3.6705	0.737094517440419	16.9076205363654
3.6706	0.737068876345017	16.9079757596565
3.6707	0.737043237085229	16.9083309731265
3.6708	0.737017599660855	16.908686176776
3.6709	0.73699196407169	16.9090413706056
3.671	0.736966330317534	16.9093965546158
3.6711	0.736940698398186	16.9097517288072
3.6712	0.736915068313442	16.9101068931802
3.6713	0.736889440063102	16.9104620477356
3.6714	0.736863813646965	16.9108171924737
3.6715	0.736838189064827	16.9111723273952
3.6716	0.736812566316489	16.9115274525006
3.6717	0.736786945401746	16.9118825677905
3.6718	0.7367613263204	16.9122376732653
3.6719	0.736735709072248	16.9125927689258
3.672	0.736710093657088	16.9129478547723
3.6721	0.73668448007472	16.9133029308055
3.6722	0.73665886832494	16.9136579970258
3.6723	0.736633258407549	16.914013053434
3.6724	0.736607650322345	16.9143681000304
3.6725	0.736582044069125	16.9147231368157
3.6726	0.736556439647691	16.9150781637904
3.6727	0.736530837057839	16.915433180955
3.6728	0.736505236299368	16.9157881883101
3.6729	0.736479637372078	16.9161431858562
3.673	0.736454040275767	16.916498173594
3.6731	0.736428445010233	16.9168531515239
3.6732	0.736402851575277	16.9172081196464
3.6733	0.736377259970696	16.9175630779623
3.6734	0.736351670196289	16.9179180264718
3.6735	0.736326082251856	16.9182729651758
3.6736	0.736300496137196	16.9186278940746
3.6737	0.736274911852107	16.9189828131688
3.6738	0.736249329396389	16.919337722459
3.6739	0.73622374876984	16.9196926219457
